country_iso3,year,ndvi_season_mean,ndvi_season_max,evi_season_mean,ndvi_m02,evi_m02,ndvi_m03,evi_m03,ndvi_m04,evi_m04,ndvi_m05,evi_m05,ndvi_m06,evi_m06
IRN,2020,0.16806400965933574,0.2441165917857633,0.11330173362647174,0.13033652883659372,0.08095771609832154,0.16638196506532,0.10661422698859513,0.195086822037019,0.1315915667403947,0.19128736274778932,0.1343899285858704,0.1596440023702565,0.11443298023503595
IRN,2021,0.14949207349202753,0.20246289368341713,0.10132599682334305,0.1370774137815,0.08568239772087546,0.15046600095870036,0.0986794419861523,0.16591680888045493,0.11419135617923541,0.15571556876000947,0.10895797796716902,0.1391225447736294,0.09957514169526367
IRN,2022,0.14464859538611619,0.2034521281488104,0.09893541970988169,0.1220546080214319,0.07646207306983646,0.14377411991117045,0.09619538200264593,0.16112936916988108,0.11025834123041982,0.1586236976997847,0.11256339127568071,0.1381945203708037,0.09952386809402025
IRN,2023,0.1533608422770742,0.21943460498195091,0.10329974816765909,0.11799848391216952,0.07282690289445205,0.15860177506742001,0.10276166634318697,0.17600470455938128,0.12063415940609974,0.1675576222949458,0.11706946534595199,0.1470062817660934,0.10340371676624245
KAZ,2001,0.19760610507902782,0.3980276354461687,0.11102609650988668,0.014440865510249555,-0.0011993086502729016,0.09765273852105281,0.04501915756743939,0.25494814035948477,0.13999658949881874,0.3270686655138544,0.19125007523369136,0.3095865431340628,0.18892986985469706
KAZ,2002,0.24332314299783028,0.4598381338618366,0.13717573627341756,0.04296781285616098,0.016553534645568337,0.15438860907452245,0.07839514601513699,0.27471374976526114,0.14787432972507494,0.38017587914314693,0.2212969822110383,0.3812575387022823,0.2307560998341575
KAZ,2003,0.19089099331035492,0.4131727023667512,0.10717079918245384,0.00801138013621601,-0.002375045210187492,0.054024804516497826,0.022158187834282046,0.19607321982622605,0.10474349611445877,0.34106442718528013,0.19593514140845608,0.36709479430198705,0.22165185927830308
KAZ,2004,0.20903481358352138,0.3971362753290571,0.1158096463214005,0.052610157251239985,0.02038358019042056,0.11287013440800368,0.05566688664551403,0.25078764487518557,0.13469427169881026,0.3255725307761537,0.1870501700298082,0.3173821927526585,0.1887752684234054
KAZ,2005,0.19950469617467265,0.4059918982657095,0.11095804539534837,0.012854378703765977,-0.0020784151084154213,0.0885650768541036,0.039681414093394915,0.2462331043746903,0.1326808649450364,0.34314640062145113,0.19887719796262326,0.321878209520764,0.1938750505235928
KAZ,2006,0.20027241450395722,0.3872977283053019,0.11367008028466442,0.017413952849836097,0.0013819406980244218,0.12736681466273667,0.06426448879832451,0.24906053448413384,0.13940448605437555,0.3138342572465803,0.18372873558230218,0.3086363009207861,0.1879365982510629
KAZ,2007,0.20973926862337625,0.4187940469304404,0.1204656131963563,0.0356509019435736,0.013307953461635647,0.0823318760201882,0.03656882808698325,0.26592533789198447,0.14845307418759537,0.3494108153074831,0.2089177999835291,0.330318712579419,0.20336307729129113
KAZ,2008,0.1882000439722136,0.3539542066888032,0.10751704922741703,0.006361090011300916,-0.004379347834803793,0.1252133198456624,0.06567631863389678,0.23854352097208062,0.13527844108125292,0.29299242426933003,0.17236998474670528,0.28975737194986956,0.17518932200634654
KAZ,2009,0.19832412222555423,0.3926517843515925,0.11352571647347713,0.010675657924630521,-0.0033584008689832236,0.11002657712230961,0.05471239546185353,0.2481999935781132,0.13997201600726017,0.3305313565506428,0.19561188052587597,0.30381513114065684,0.18710664496656199
KAZ,2010,0.1782482298802259,0.3643304423769827,0.10171747723355898,0.008295165876177867,-0.0018438340769557835,0.06979699319635935,0.030538119320855837,0.22977168036531717,0.12708518314762077,0.3039562429477263,0.17947566790951425,0.2869554621744344,0.17731048638297972
KAZ,2011,0.1820204989534484,0.37987122076702173,0.10575345407571297,0.003922021578512716,-0.004319765686163811,0.061619455524687915,0.028266609818058137,0.23428068439194125,0.13302085651712198,0.30438954845336896,0.1813905018975402,0.3136707729263137,0.19460448764449376
KAZ,2012,0.1808291659134143,0.36656549342104566,0.10466149287846564,-0.009101491539517928,-0.012257389797895098,0.07650041309794212,0.03564223564198417,0.2622211018374526,0.1505839353811983,0.2938260934006426,0.1771281234153136,0.2882994723428349,0.17640611481546523
KAZ,2013,0.19868751990093078,0.3795312823785456,0.11528460868533254,0.018350258723732766,0.0029289435066919213,0.10375245415074473,0.05326368970505571,0.26894693656278024,0.1531125668081642,0.3116384271554546,0.18721241347438913,0.3012506987096484,0.18570869446630348
KAZ,2014,0.18230241330420982,0.3658103736537743,0.10582871104665502,-0.00850199725844086,-0.013873477866773825,0.0872592476481938,0.040729423143344455,0.24724766972933918,0.14105621530447326,0.3020960319431257,0.18364192896056564,0.29192198172281864,0.18234856160050494
KAZ,2015,0.19765315942345765,0.42111473297388796,0.11435636527829944,0.02099933838032824,0.0026019026456410234,0.05520708350946655,0.02288043797231476,0.22915291166045876,0.12775277273061086,0.35753848395864957,0.21345675394361902,0.334162493280958,0.20981158808382672
